     orb #      occ_a      occ_b 
         0    0.99894    0.99894 
         1    0.99891    0.99891 
         2    0.99886    0.99886 
         3    0.99855    0.99855 
         4    0.99841    0.99841 
         5    0.99626    0.99626 
         6    0.99608    0.99608 
         7    0.97757    0.97757 
         8    0.97727    0.97727 
         9    0.40352    0.40352 
        10    0.28209    0.28209 
        11    0.27529    0.27529 
        12    0.02611    0.02611 
        13    0.02591    0.02591 
        14    0.00775    0.00775 
        15    0.00771    0.00771 
        16    0.00753    0.00753 
        17    0.00748    0.00748 
        18    0.00297    0.00297 
        19    0.00291    0.00291 
