     orb #      occ_a      occ_b 
         0    0.99901    0.99901 
         1    0.99896    0.99896 
         2    0.99896    0.99896 
         3    0.99858    0.99858 
         4    0.99858    0.99858 
         5    0.99624    0.99624 
         6    0.99624    0.99624 
         7    0.97742    0.97742 
         8    0.97742    0.97742 
         9    0.48605    0.48605 
        10    0.48022    0.48022 
        11    0.02619    0.02619 
        12    0.02619    0.02619 
        13    0.00861    0.00861 
        14    0.00861    0.00861 
        15    0.00606    0.00606 
        16    0.00606    0.00606 
        17    0.00122    0.00122 
        18    0.00114    0.00114 
        19    0.00086    0.00086 
